,Code,name,ownership,sponsor,composition,nature,enrolment2007,nTeachers,pupil2TeacherRatio,District,Division,Location,Sublocation,Costituency,Province,coordinates,lat,lon,county
1815,C2070769,NGUTHURU SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,231,7,33.0,MARAGUA,KANDARA,MURUKA,NGUTHURO,KANDARA,CENTRAL,"(-0.95014400000, 37.08907700000)",-0.950144,37.089077,Murang'a
1816,D2060095,KIBIRU SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY AND BOARDING,293,18,16.27777777777778,THIKA,GATUNDU,NDARUGU,GITWE,GATUNDU SOUTH,CENTRAL,"(-0.94969800000, 36.80160100000)",-0.949698,36.801601,Kiambu
1817,E6010437,NYABIORE SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,61,9,6.777777777777778,GUCHA,KENYENYA,MAGENCHE,NYAMECHEO,BOMACHOGE,NYANZA,"(-0.94963800000, 34.73537800000)",-0.949638,34.735378,Kisii
1818,C2070860,APEX SEC SCH,PRIVATE,NGO/CBO,MIXED,DAY,77,5,15.4,MARAGUA,KANDARA,KAGUNDUINI,KABATI,KANDARA,CENTRAL,"(-0.94948140000, 37.10750280000)",-0.9494814,37.1075028,Murang'a
1819,B6060860,ST CHRISTOPHER KAMGUNDHO MIXED SEC,PUBLIC,COMMUNITY,MIXED,DAY,16,4,4.0,MIGORI,RONGO,WEST KAMAGAMBO,KANYIMACH,RONGO,NYANZA,"(-0.94848000000, 34.61488000000)",-0.94848,34.61488,Migori
1820,L2010030,KIAMBOGO SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,83,9,9.222222222222221,KIAMBU,LARI,KIJABE,KIJABE,LARI,CENTRAL,"(-0.94805000000, 36.61345000000)",-0.94805,36.61345,Kiambu
1821,C2070846,MUKERENJU SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,187,15,12.466666666666667,MARAGUA,KANDARA,KAGUNDUINI,KABATI,KANDARA,CENTRAL,"(-0.94804400000, 37.10143000000)",-0.948044,37.10143,Murang'a
1822,F7020777,KIPKEIGEI SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,52,5,10.4,BOMET,SIGOR,SIGOR,KIPKEIGEI,CHEPALUNGU,RIFT VALLEY,"(-0.94741000000, 35.28516000000)",-0.94741,35.28516,Bomet
1823,B2060075,KANJUKU SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,189,12,15.75,THIKA,KAMWANGI,CHANIA,KIAMWANGI,GATUNDU NORTH,CENTRAL,"(-0.94740600000, 36.89075000000)",-0.947406,36.89075,Kiambu
1824,H7130390,SIMOTWET SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,36,4,9.0,TRANS MARA,PIRRAR,OLOLMASANI,OLOLMASANI,KILGORIS,RIFT VALLEY,"(-0.94672000000, 35.05778000000)",-0.94672,35.05778,Narok
1825,F7020705,KAMAGET SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,17,4,4.25,BOMET,SIONGIROI,CHEBUNYO,KAMOGIBOI,CHEPALUNGU,RIFT VALLEY,"(-0.94659000000, 35.22038000000)",-0.94659,35.22038,Bomet
1826,D2060100,MUNYU-INI SEC SCH,PUBLIC,LOCAL GOVERNMENT AUTHORITY,MIXED,DAY,66,8,8.25,THIKA,GATUNDU,NDARUGU,MUNYUINI,GATUNDU SOUTH,CENTRAL,"(-0.94643200000, 36.78490900000)",-0.946432,36.784909,Kiambu
1827,R7090048,MAAI MAHIU SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,284,11,25.818181818181817,NAKURU,NAIVASHA,LONGONOT,LONGONOT,NAIVASHA,RIFT VALLEY,"(-0.94617000000, 36.55635000000)",-0.94617,36.55635,Nakuru
1828,E6011089,NYAMONDO SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,92,10,9.2,GUCHA,ETAGO,S. MUGIRANGO BORABU,NYAMONDO,SOUTH MUGIRANGO,NYANZA,"(-0.94612200000, 34.69438000000)",-0.946122,34.69438,Kisii
1829,A7110252,KUTO SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,66,5,13.2,NAROK,MULOT,MULOT,KUTO,NAROK SOUTH,RIFT VALLEY,"(-0.94603700000, 35.48166500000)",-0.946037,35.481665,Narok
1830,C2070828,NGARARIA GIRLS SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,GIRLS ONLY,BOARDING,484,28,17.285714285714285,MARAGUA,KANDARA,MURUKA,NGARARIA,KANDARA,CENTRAL,"(-0.94589000000, 37.02271600000)",-0.94589,37.022716,Murang'a
1831,L2010032,KIJABE BOYS SEC,PUBLIC,RELIGIOUS ORGANIZATION,BOYS ONLY,BOARDING,722,36,20.055555555555557,KIAMBU,LARI,KIJABE,KIJABE,LARI,CENTRAL,"(-0.94565000000, 36.59748000000)",-0.94565,36.59748,Kiambu
1832,G4100181,KARUNG'A SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,23,2,11.5,MWINGI,CENTRAL - MWINGI,MWINGI,ENZIU,MWINGI NORTH,EASTERN,"(-0.94543000000, 38.21846000000)",-0.94543,38.21846,Kitui
1833,C2070827,NGARARIA MIXED SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,305,18,16.944444444444443,MARAGUA,KANDARA,MURUKA,NGARARIA,KANDARA,CENTRAL,"(-0.94525600000, 37.02149500000)",-0.945256,37.021495,Murang'a
1834,D2060090,KAMUTUA SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,131,10,13.1,THIKA,GATUNDU,NDARUGU,GITWE,GATUNDU SOUTH,CENTRAL,"(-0.94522500000, 36.80852600000)",-0.945225,36.808526,Kiambu
1835,F7020734,MOGOR SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,171,11,15.545454545454545,BOMET,SIONGIROI,MOGOR,MOGOR,CHEPALUNGU,RIFT VALLEY,"(-0.94505000000, 35.13798000000)",-0.94505,35.13798,Bomet
1836,E6010414,NYANGETI SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,114,8,14.25,GUCHA,KENYENYA,MAJOGE MASABA,NYABITUNWA,BOMACHOGE,NYANZA,"(-0.94452200000, 34.76028700000)",-0.944522,34.760287,Kisii
1837,E6010456,MOTEIRIBE SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,254,10,25.4,GUCHA,KENYENYA,MAGENCHE,MAGENCHE,BOMACHOGE,NYANZA,"(-0.94416700000, 34.70591400000)",-0.944167,34.705914,Kisii
1838,F7020804,LELAITICH SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,54,4,13.5,BOMET,SIGOR,LELAITICH,LELAITICH,CHEPALUNGU,RIFT VALLEY,"(-0.94416000000, 35.32864000000)",-0.94416,35.32864,Bomet
1839,E6011161,NDONYO SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,63,9,7.0,GUCHA,ETAGO,OTENDO,NDONYO,SOUTH MUGIRANGO,NYANZA,"(-0.94381300000, 34.63670500000)",-0.943813,34.636705,Kisii
1840,B6060080,KIMAI MIZED SEC,PUBLIC,COMMUNITY,MIXED,DAY,66,6,11.0,MIGORI,NYATIKE,SOUTH KADEM,WEST KANYARWANDA,NYATIKE,NYANZA,"(-0.94368000000, 34.19374000000)",-0.94368,34.19374,Migori
1841,J4050223,NDITHINI SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,403,17,23.705882352941178,MACHAKOS,NDITHINI,NDITHINI,NDITHINI,MASINGA,EASTERN,"(-0.94308000000, 37.33308000000)",-0.94308,37.33308,Machakos
1842,D2060134,NDARUGU SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,182,11,16.545454545454547,THIKA,GATUNDU,NDARUGU,KARATU,GATUNDU SOUTH,CENTRAL,"(-0.94304800000, 36.82352300000)",-0.943048,36.823523,Kiambu
1843,E6010432,MAIGA FP SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,118,9,13.11111111111111,GUCHA,KENYENYA,MAJOGE MASABA,NYABITUNWA,BOMACHOGE,NYANZA,"(-0.94253100000, 34.74765900000)",-0.942531,34.747659,Kisii
1844,C2070804,MUGECHA SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,417,17,24.529411764705884,MARAGUA,KANDARA,MURUKA,MURUKA,KANDARA,CENTRAL,"(-0.94194900000, 37.04423600000)",-0.941949,37.044236,Murang'a
1845,L2010031,RIFT VALLEY ACADEMY,PRIVATE,LOCAL GOVERNMENT AUTHORITY,MIXED,DAY AND BOARDING,386,46,8.391304347826088,KIAMBU,LARI,KIJABE,KIJABE,LARI,CENTRAL,"(-0.94179000000, 36.59403000000)",-0.94179,36.59403,Kiambu
1846,C2060032,GITUAMBA SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,227,16,14.1875,THIKA,GATANGA,KIHUMBUINI,GITUAMBA/KIUNYU,GATANGA,CENTRAL,"(-0.94160280000, 36.98807000000)",-0.9416028,36.98807,Murang'a
1847,B2060128,NDEKEI SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,295,16,18.4375,THIKA,KAMWANGI,CHANIA,NGORONGO,GATUNDU NORTH,CENTRAL,"(-0.94126900000, 36.90458800000)",-0.941269,36.904588,Kiambu
1848,B2060181,KAMWIRIGI MIXED DAY SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,124,9,13.777777777777779,THIKA,KAMWANGI,GITHOBIKONI,GATHAITE,GATUNDU NORTH,CENTRAL,"(-0.94108500000, 36.85097400000)",-0.941085,36.850974,Kiambu
1849,E6011099,IKOBA SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,170,11,15.454545454545455,GUCHA,ETAGO,S. MUGIRANGO BORABU,NYAMONDO,SOUTH MUGIRANGO,NYANZA,"(-0.94089200000, 34.67931700000)",-0.940892,34.679317,Kisii
1850,H7130113,PIRRAR GIRLS HIGH SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,GIRLS ONLY,DAY,48,5,9.6,TRANS MARA,PIRRAR,ORONKAI,ORONKAI,KILGORIS,RIFT VALLEY,"(-0.94003000000, 35.00167000000)",-0.94003,35.00167,Narok
1852,G4100092,KANGINGA OASIS SEC,PRIVATE,PRIVATE INDIVIDUAL/ORGANIZATION,GIRLS ONLY,BOARDING,30,5,6.0,MWINGI,CENTRAL - MWINGI,KIOMO,KAVUVWANI,MWINGI SOUTH,EASTERN,"(-0.93985000000, 38.03979000000)",-0.93985,38.03979,Kitui
1853,E6011105,NYABINE DEB SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,131,9,14.555555555555555,GUCHA,ETAGO,CHITAGO,BOIGE,SOUTH MUGIRANGO,NYANZA,"(-0.93972000000, 34.67126900000)",-0.93972,34.671269,Kisii
1854,E6010500,MOBIRONA PAG SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,109,8,13.625,GUCHA,KENYENYA,MAGENCHE,MAGENCHE,BOMACHOGE,NYANZA,"(-0.93898800000, 34.71640800000)",-0.938988,34.716408,Kisii
1855,E6011104,ST ALPHONSE NYABINE DOK SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,101,9,11.222222222222221,GUCHA,ETAGO,GETENGA,MUMA,SOUTH MUGIRANGO,NYANZA,"(-0.93861000000, 34.67092800000)",-0.93861,34.670928,Kisii
1856,E6010361,MOSENSEMA SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,50,9,5.555555555555555,GUCHA,KENYENYA,BOOCHI BORABU,EMESA,BOMACHOGE,NYANZA,"(-0.93859400000, 34.81007300000)",-0.938594,34.810073,Kisii
1857,G4100067,MWINGI MIXED SEC,PRIVATE,PRIVATE INDIVIDUAL/ORGANIZATION,MIXED,DAY AND BOARDING,9,4,2.25,MWINGI,CENTRAL - MWINGI,MWINGI,MWINGI,MWINGI NORTH,EASTERN,"(-0.93757000000, 38.07099000000)",-0.93757,38.07099,Kitui
1858,E6010407,RIYABU SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,296,15,19.733333333333334,GUCHA,KENYENYA,MAJOGE MASABA,BOKIMONGE,BOMACHOGE,NYANZA,"(-0.93752900000, 34.78483600000)",-0.937529,34.784836,Kisii
1860,E6010417,ENDERETI MIXED SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,189,10,18.9,GUCHA,KENYENYA,MAJOGE MASABA,BOKIMONGE,BOMACHOGE,NYANZA,"(-0.93576900000, 34.76360400000)",-0.935769,34.763604,Kisii
1861,A7110268,OLOOMIRANI SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,BOARDING,660,30,22.0,NAROK,MULOT,MULOT,MULOT,NAROK SOUTH,RIFT VALLEY,"(-0.93463900000, 35.43666600000)",-0.934639,35.436666,Narok
1862,C2060211,GATANGA CCM SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,GIRLS ONLY,BOARDING,461,20,23.05,THIKA,GATANGA,GATANGA,ITHANGARARI,GATANGA,CENTRAL,"(-0.93377200000, 36.95705400000)",-0.933772,36.957054,Murang'a
1863,E6010495,NYABINYINYI AIC MIXED SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,105,8,13.125,GUCHA,KENYENYA,MAGENCHE,MAGENCHE,BOMACHOGE,NYANZA,"(-0.93370500000, 34.71665500000)",-0.933705,34.716655,Kisii
1864,C2070799,KALA SEC SCH,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,221,14,15.785714285714286,MARAGUA,KANDARA,MURUKA,NAARO,KANDARA,CENTRAL,"(-0.93369800000, 37.03649400000)",-0.933698,37.036494,Murang'a
1865,C2070018,ST MICHAEL GIRLS HIGH SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,GIRLS ONLY,DAY AND BOARDING,391,11,35.54545454545455,MARAGUA,MAKUYU,MAKUYU,KIMORORI,MARAGWA,CENTRAL,"(-0.93359100000, 37.14164500000)",-0.933591,37.141645,Murang'a
1866,F7020741,KIPROROGET DAY SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,41,4,10.25,BOMET,SIONGIROI,CHEBUNYO,CHEBUNYO,CHEPALUNGU,RIFT VALLEY,"(-0.93269000000, 35.19222000000)",-0.93269,35.19222,Bomet
1867,F7020994,OLBOBO SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,203,9,22.555555555555557,BOMET,LONGISA,KIPLABOTWA,KAPLIYO,BOMET,RIFT VALLEY,"(-0.93215000000, 35.39890000000)",-0.93215,35.3989,Bomet
1868,C2070810,JOVIOL HIGH SCH,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,58,3,19.333333333333332,MARAGUA,KANDARA,MURUKA,NAARO,KANDARA,CENTRAL,"(-0.93187500000, 37.02814300000)",-0.931875,37.028143,Murang'a
1869,C2060190,KIRWARA HIGH SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,BOARDING,714,32,22.3125,THIKA,GATANGA,GATANGA,KIRWARA/CHOMO,GATANGA,CENTRAL,"(-0.93079700000, 36.94288500000)",-0.930797,36.942885,Murang'a
1870,B6060162,ANEKO MIXED SEC SCH,PUBLIC,COMMUNITY,MIXED,DAY,16,5,3.2,MIGORI,NYATIKE,WEST KADEM,ANEKO,NYATIKE,NYANZA,"(-0.93070000000, 34.14108000000)",-0.9307,34.14108,Migori
1871,C2070009,TUENI SEC SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,90,6,15.0,MARAGUA,MAKUYU,MAKUYU,KIMORORI,MARAGWA,CENTRAL,"(-0.93047100000, 37.12887700000)",-0.930471,37.128877,Murang'a
1872,D2060109,MURURIA SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,BOYS ONLY,BOARDING,526,28,18.785714285714285,THIKA,GATUNDU,NDARUGU,KARATU,GATUNDU SOUTH,CENTRAL,"(-0.92966900000, 36.80400200000)",-0.929669,36.804002,Kiambu
1873,H7130378,KAPWERIA SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,165,9,18.333333333333332,TRANS MARA,PIRRAR,OLOLMASANI,ABOSSI,KILGORIS,RIFT VALLEY,"(-0.92916000000, 35.09253000000)",-0.92916,35.09253,Narok
1874,B6060356,LWALA MIXED SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,133,12,11.083333333333334,MIGORI,URIRI,S.E.KANYAMKAGO,LWALA,URIRI,NYANZA,"(-0.92902000000, 34.52054000000)",-0.92902,34.52054,Migori
1875,E6011009,DOBRA MIXED SEC,PRIVATE,PRIVATE INDIVIDUAL/ORGANISATION,MIXED,DAY,74,7,10.571428571428571,GUCHA,NYACHEKI,BASSI BOGETAORIO,NYANGUSU,BOBASI,NYANZA,"(-0.92883300000, 34.83848900000)",-0.928833,34.838489,Kisii
1876,E6011094,NYAMAGENA MABARIRI DEB SEC,PUBLIC,COMMUNITY,MIXED,DAY,20,2,10.0,GUCHA,ETAGO,S. MUGIRANGO BORABU,NYAMONDO,SOUTH MUGIRANGO,NYANZA,"(-0.92877800000, 34.68342200000)",-0.928778,34.683422,Kisii
1877,B2060159,NGETHU SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,142,10,14.2,THIKA,KAMWANGI,CHANIA,NGORONGO,GATUNDU NORTH,CENTRAL,"(-0.92838200000, 36.91122100000)",-0.928382,36.911221,Kiambu
1878,K4050213,KAEWA GIRLS HIGH SCH,PUBLIC,COMMUNITY,GIRLS ONLY,DAY,12,3,4.0,MACHAKOS,MASINGA,KIRAA,KAEWA,MASINGA,EASTERN,"(-0.92838000000, 37.67622000000)",-0.92838,37.67622,Machakos
1879,G4100001,MWINGI SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,BOYS ONLY,BOARDING,484,27,17.925925925925927,MWINGI,CENTRAL - MWINGI,MWINGI,KYANIKA,MWINGI NORTH,EASTERN,"(-0.92690000000, 38.06257000000)",-0.9269,38.06257,Kitui
1880,E6010426,NYAIBATE SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,66,8,8.25,GUCHA,KENYENYA,MAGENCHE,NYAMECHEO,BOMACHOGE,NYANZA,"(-0.92656900000, 34.74256600000)",-0.926569,34.742566,Kisii
1881,E6010350,NYAMESOCHO SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,210,11,19.09090909090909,GUCHA,KENYENYA,BOOCHI BORABU,EMESA,BOMACHOGE,NYANZA,"(-0.92633400000, 34.81211700000)",-0.926334,34.812117,Kisii
1882,E6011008,NYANGOSO SDA SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,124,9,13.777777777777779,GUCHA,NYACHEKI,BASSI BOGETAORIO,NYANGUSU,BOBASI,NYANZA,"(-0.92602600000, 34.83443300000)",-0.926026,34.834433,Kisii
1883,C2070026,CITADEL OF HOPE SEC SCH,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY AND BOARDING,66,8,8.25,MARAGUA,MAKUYU,MAKUYU,GATHUNGURURU,MARAGWA,CENTRAL,"(-0.92515200000, 37.15435000000)",-0.925152,37.15435,Murang'a
1884,C2060050,KIHUMBUINI SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,375,25,15.0,THIKA,GATANGA,KIHUMBUINI,KIHUMBUINI,GATANGA,CENTRAL,"(-0.92510000000, 36.98694800000)",-0.9251,36.986948,Murang'a
1886,C2070785,MURUKA SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,321,16,20.0625,MARAGUA,KANDARA,MURUKA,MURUKA,KANDARA,CENTRAL,"(-0.92412800000, 37.04676580000)",-0.924128,37.0467658,Murang'a
1887,C2070025,THANGIRA UMOJA SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,77,5,15.4,MARAGUA,MAKUYU,MAKUYU,GATHUNGURURU,MARAGWA,CENTRAL,"(-0.92397000000, 37.15119300000)",-0.92397,37.151193,Murang'a
1888,E6010503,MARIBA ACADEMY SEC,PRIVATE,PRIVATE INDIVIDUAL/ORGANISATION,MIXED,DAY,127,9,14.11111111111111,GUCHA,KENYENYA,MAGENCHE,NYAMECHEO,BOMACHOGE,NYANZA,"(-0.92348300000, 34.72434700000)",-0.923483,34.724347,Kisii
1889,C2060061,NYAGA SEC SCH,PUBLIC,COMMUNITY,MIXED,DAY,83,7,11.857142857142858,THIKA,GATANGA,KIHUMBUINI,MUKURWE/THUITA,GATANGA,CENTRAL,"(-0.92343200000, 36.99744600000)",-0.923432,36.997446,Murang'a
1890,C2060015,GATANGA GIRLS SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,GIRLS ONLY,BOARDING,569,39,14.58974358974359,THIKA,GATANGA,KIHUMBUINI,KIRIAINI,GATANGA,CENTRAL,"(-0.92336560000, 36.95049080000)",-0.9233656,36.9504908,Murang'a
1891,E6010465,NYAKORERE SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,182,10,18.2,GUCHA,KENYENYA,MAGENCHE,MOKUBO,BOMACHOGE,NYANZA,"(-0.92335500000, 34.70093900000)",-0.923355,34.700939,Kisii
1892,H7110297,NGIITO SEC,PUBLIC,RELIGIOUS ORGANIZATION,GIRLS ONLY,DAY AND BOARDING,299,13,23.0,NAROK,MULOT,MULOT,NKIITO,NAROK SOUTH,RIFT VALLEY,"(-0.92267000000, 35.48742000000)",-0.92267,35.48742,Narok
1893,E6010509,SENGERA SDA SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,147,11,13.363636363636363,GUCHA,KENYENYA,MAGENCHE,MAGENCHE,BOMACHOGE,NYANZA,"(-0.92263500000, 34.72719200000)",-0.922635,34.727192,Kisii
1894,F7020900,KIPRERES SEC. SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,63,8,7.875,BOMET,LONGISA,KIPRERES,KIPRERES,BOMET,RIFT VALLEY,"(-0.92254000000, 35.35667000000)",-0.92254,35.35667,Bomet
1895,C2070813,NAARO SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,BOARDING,532,28,19.0,MARAGUA,KANDARA,MURUKA,NAARO,KANDARA,CENTRAL,"(-0.92221700000, 37.02091500000)",-0.922217,37.020915,Murang'a
1896,G4100004,ST. JOSEPH SEC SCH,PRIVATE,RELIGIOUS ORGANIZATION,BOYS ONLY,BOARDING,313,18,17.38888888888889,MWINGI,CENTRAL - MWINGI,MWINGI,KYANIKA,MWINGI NORTH,EASTERN,"(-0.92221000000, 38.06072000000)",-0.92221,38.06072,Kitui
1897,C2070856,KARIGUINI SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,335,17,19.705882352941178,MARAGUA,KANDARA,KAGUNDUINI,GITURA,KANDARA,CENTRAL,"(-0.92220250000, 37.11558670000)",-0.9222025,37.1155867,Murang'a
1898,B2060087,OUR LADY OF FATIMA-KIRIKO SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,GIRLS ONLY,BOARDING,213,14,15.214285714285714,THIKA,KAMWANGI,GITUAMBA,KIRIKO,GATUNDU NORTH,CENTRAL,"(-0.92170100000, 36.87240700000)",-0.921701,36.872407,Kiambu
1899,E6010968,SACRED HEART OF JESUS EKEONGA SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,78,8,9.75,GUCHA,NYACHEKI,GIONSARIA,RIONTWEKA,BOBASI,NYANZA,"(-0.92121300000, 34.86651300000)",-0.921213,34.866513,Kisii
1900,E6011070,NYATWONI SDA SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,49,6,8.166666666666666,GUCHA,ETAGO,CHITAGO,BOIGE,SOUTH MUGIRANGO,NYANZA,"(-0.92099000000, 34.67280000000)",-0.92099,34.6728,Kisii
1901,E6011145,MAROO ESINDE SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,56,4,14.0,GUCHA,ETAGO,GETENGA,NYARAMBA,SOUTH MUGIRANGO,NYANZA,"(-0.92032300000, 34.64148100000)",-0.920323,34.641481,Kisii
1902,F7020692,KIPSUTER SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,BOARDING,306,15,20.4,BOMET,SIONGIROI,SIONGIROI,KIPSUTER,CHEPALUNGU,RIFT VALLEY,"(-0.92006200000, 35.24093100000)",-0.920062,35.240931,Bomet
1903,E2060106,KIRIMIRI SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,186,14,13.285714285714286,THIKA,KAKUZI,KAKUZI,KIRIMIRI,GATANGA,CENTRAL,"(-0.91994440000, 37.26261110000)",-0.9199444,37.2626111,Murang'a
1904,E6010978,ST THERESA'S NYANGUSU SEC,PUBLIC,LOCAL GOVERNMENT AUTHORITY,GIRLS ONLY,BOARDING,391,20,19.55,GUCHA,NYACHEKI,RIGENA,RITUMBE,BOBASI,NYANZA,"(-0.91934700000, 34.84529900000)",-0.919347,34.845299,Kisii
1905,D2060105,KAGIO SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,182,9,20.22222222222222,THIKA,GATUNDU,NDARUGU,GACHARAGE,GATUNDU SOUTH,CENTRAL,"(-0.91903200000, 36.74520900000)",-0.919032,36.745209,Kiambu
1906,B6060287,PINY OWACHO SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,150,9,16.666666666666668,MIGORI,URIRI,CENTRAL KANYAMKAGO,CENTRAL KAWERE RATEN,URIRI,NYANZA,"(-0.91886000000, 34.45772000000)",-0.91886,34.45772,Migori
1907,D2060135,MUTUNGURU SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,69,9,7.666666666666667,THIKA,GATUNDU,NDARUGU,KIRANGI,GATUNDU SOUTH,CENTRAL,"(-0.91857100000, 36.79084500000)",-0.918571,36.790845,Kiambu
1908,D2060186,MUTUNGURU SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY AND BOARDING,80,9,8.88888888888889,THIKA,GATUNDU,NDARUGU,KIRANGI,GATUNDU SOUTH,CENTRAL,"(-0.91857100000, 36.79084500000)",-0.918571,36.790845,Kiambu
1909,E6010369,RIANYANCHABERA SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,129,11,11.727272727272727,GUCHA,KENYENYA,MAJOGE BORABU,KIANGOSO,BOMACHOGE,NYANZA,"(-0.91854100000, 34.79153900000)",-0.918541,34.791539,Kisii
1910,A7110346,MELELO SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY AND BOARDING,192,9,21.333333333333332,NAROK,OLOLUNGA,MELELO,MELELO,NAROK SOUTH,RIFT VALLEY,"(-0.91832600000, 35.61556500000)",-0.918326,35.615565,Narok
1911,C2060202,RWEGETHA SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,320,14,22.857142857142858,THIKA,GATANGA,GATANGA,KIRWARA/CHOMO,GATANGA,CENTRAL,"(-0.91808000000, 36.91574900000)",-0.91808,36.915749,Murang'a
