,Code,name,ownership,sponsor,composition,nature,enrolment2007,nTeachers,pupil2TeacherRatio,District,Division,Location,Sublocation,Costituency,Province,coordinates,lat,lon,county
2916,F2030389,KIAMBUTHIA SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,244,14,17.428571428571427,MURANGA,MATHIOYA,KIRU,KIAMBUTHIA,MATHIOYA,CENTRAL,"(-0.61677670000, 36.91079940000)",-0.6167767,36.9107994,Murang'a
2917,M7180453,SIMOTI SECONDARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,149,10,14.9,BURETI,KONOIN,SIMOTI,SIMOTI,KONOIN,RIFT VALLEY,"(-0.61650000000, 35.30108000000)",-0.6165,35.30108,Bomet
2918,F6020693,ST. JULIANS RODI KOPANY GIRLS SEC SCH,PRIVATE,RELIGIOUS ORGANIZATION,GIRLS ONLY,DAY AND BOARDING,19,7,2.7142857142857144,HOMA BAY,ASEGO,EAST KANYADA,KALANYA KANYANGO,RANGWE,NYANZA,"(-0.61524500000, 34.49742900000)",-0.615245,34.497429,Homa Bay
2919,A2050116,KIBUTIO SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,122,8,15.25,NYERI,MUKURWE-INI,GIKONDI,MUTHUTHIINI,MUKURWE-INI,CENTRAL,"(-0.61497300000, 37.08161900000)",-0.614973,37.081619,Nyeri
2920,F2030189,KIAMUTURI DAY SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,23,3,7.666666666666667,MURANGA,MATHIOYA,NJUMBI,KIAMUTURI,MATHIOYA,CENTRAL,"(-0.61402470000, 36.84379670000)",-0.6140247,36.8437967,Murang'a
2921,B2020115,KAROTI GIRLS HIGH,PUBLIC,RELIGIOUS ORGANIZATION,GIRLS ONLY,BOARDING,867,42,20.642857142857142,KIRINYAGA,MWEA,NYANGATI,NYANGATI,MWEA,CENTRAL,"(-0.61392800000, 37.36849400000)",-0.613928,37.368494,Kirinyaga
2922,H6030223,GETURI SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,199,10,19.9,CENTRAL KISII,MARANI,SENSI,KIONG'ANYO,KITUTU CHACHE,NYANZA,"(-0.61315100000, 34.80636400000)",-0.613151,34.806364,Kisii
2923,B2020385,KATHAKA MIXED SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,49,3,16.333333333333332,KIRINYAGA,NDIA,MWERUA,KITHUMBU,NDIA,CENTRAL,"(-0.61274900000, 37.22745600000)",-0.612749,37.227456,Kirinyaga
2924,M7180593,CHELUGET ACADEMY GIRLS SECONDARY,PRIVATE,PRIVATE INDIVIDUAL,GIRLS ONLY,BOARDING,78,5,15.6,BURETI,KONOIN,CHEPTALAL,TOBOINO,KONOIN,RIFT VALLEY,"(-0.61268000000, 35.37791000000)",-0.61268,35.37791,Bomet
2925,F2030322,THUITA SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,133,10,13.3,MURANGA,MATHIOYA,KAMACHARIA,THUITA,MATHIOYA,CENTRAL,"(-0.61198310000, 37.04807190000)",-0.6119831,37.0480719,Murang'a
2926,G6070527,ELIMU CENTRE SEC,PRIVATE,COMMUNITY,MIXED,DAY AND BOARDING,293,1,293.0,NYAMIRA,MANGA,NORTH KITUTU,BOGWENDO,KITUTU MASABA,NYANZA,"(-0.61190800000, 34.89095500000)",-0.611908,34.890955,Nyamira
2927,G6070538,OGANGO SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,95,10,9.5,NYAMIRA,MANGA,CENTRAL KITUTU,NYAKONGO,KITUTU MASABA,NYANZA,"(-0.61172900000, 34.87405500000)",-0.611729,34.874055,Nyamira
2930,E2040322,KIMURI SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY AND BOARDING,188,16,11.75,NYANDARUA,NORTH KINANGOP,ENGINEER,MURUNGARU,KINANGOP,CENTRAL,"(-0.61084500000, 36.47434530000)",-0.610845,36.4743453,Nyandarua
2931,A6100320,NYADENDA MIXED SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,51,7,7.285714285714286,SUBA,CENTRAL,KAKSINGRI EAST,SUMBA EAST,GWASSI,NYANZA,"(-0.61077000000, 34.24580500000)",-0.61077,34.245805,Homa Bay
2932,F2030344,KIHURO SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,68,9,7.555555555555555,MURANGA,MATHIOYA,KAMACHARIA,KAIRI,MATHIOYA,CENTRAL,"(-0.61076000000, 37.00495330000)",-0.61076,37.0049533,Murang'a
2933,H6030382,NYANGURU SEC,PUBLIC,COMMUNITY,MIXED,DAY,13,5,2.6,CENTRAL KISII,MOSOCHO,NYATIEKO,RIAITEBA,KITUTU CHACHE,NYANZA,"(-0.61054000000, 34.79166400000)",-0.61054,34.791664,Kisii
2934,H6030309,RAGANGA SEC,PUBLIC,RELIGIOUS ORGANISATION,MIXED,DAY,101,9,11.222222222222221,CENTRAL KISII,MOSOCHO,BOGUSERO SOUTH,RAGANGA,KITUTU CHACHE,NYANZA,"(-0.61017300000, 34.71924100000)",-0.610173,34.719241,Kisii
2935,A6100502,NYAGWETHE SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,96,6,16.0,SUBA,GWASSI,GWASSI NORTH,NYAGWETHE,GWASSI,NYANZA,"(-0.60997000000, 34.09974000000)",-0.60997,34.09974,Homa Bay
2936,M7180106,NGESUMIN GIRLS SECONDARY SCHOOL,PUBLIC,LOCAL GOVERNMENT AUTHORITY,GIRLS ONLY,DAY AND BOARDING,151,10,15.1,BURETI,BURETI,NGESUMIN,NGESUMIN,BURETI,RIFT VALLEY,"(-0.60929700000, 35.15910000000)",-0.609297,35.1591,Bomet
2937,M7180590,CHEPTALAL SECONDARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,179,14,12.785714285714286,BURETI,KONOIN,CHEPTALAL,TOBOINO,KONOIN,RIFT VALLEY,"(-0.60914000000, 35.37405000000)",-0.60914,35.37405,Bomet
2938,F2030404,ST. JOSEPH MURAYA KAIRO SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,122,10,12.2,MURANGA,MATHIOYA,KIRU,KAIRO,MATHIOYA,CENTRAL,"(-0.60878830000, 36.87019640000)",-0.6087883,36.8701964,Murang'a
2939,G6071122,RIRUMI SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,244,14,17.428571428571427,NYAMIRA,NYAMIRA,BONYAMATUTA CHA,KEBIRIGO,WEST MUGIRANGO,NYANZA,"(-0.60877000000, 34.96910000000)",-0.60877,34.9691,Nyamira
2942,G6070806,ST JOHN NYAKWEREMA SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,74,9,8.222222222222221,NYAMIRA,EKERENYO,KIABONYORU,OMONONO,N.MUGIRANGO BORABU,NYANZA,"(-0.60807600000, 34.99129800000)",-0.608076,34.991298,Nyamira
2943,M7180450,KOIWA CENTRAL DAY SECONDARY,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,38,4,9.5,BURETI,KONOIN,KOIWA,CHEPTINGTING,KONOIN,RIFT VALLEY,"(-0.60787000000, 35.31546000000)",-0.60787,35.31546,Bomet
2944,A4070321,KIVUE SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,35,5,7.0,MBEERE,SIAKAGO,MUMINJI,GANGARA,SIAKAGO,EASTERN,"(-0.60775700000, 37.73637500000)",-0.607757,37.736375,Embu
2945,B2020086,MUMBUINI SEC SCH,PUBLIC,COMMUNITY,MIXED,DAY,8,3,2.6666666666666665,KIRINYAGA,MWEA,MURINDUKO,MIUU,MWEA,CENTRAL,"(-0.60774500000, 37.45569600000)",-0.607745,37.455696,Kirinyaga
2946,M7180082,AROKYET SECONDARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,154,2,77.0,BURETI,BURETI,TECHOGET,AROKYET,BURETI,RIFT VALLEY,"(-0.60771500000, 35.09392700000)",-0.607715,35.093927,Bomet
2947,M7180544,NGERERIT SECONDARY,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,114,9,12.666666666666666,BURETI,KONOIN,MOGOGOSIEK,NGERERIT,KONOIN,RIFT VALLEY,"(-0.60747000000, 35.25449000000)",-0.60747,35.25449,Bomet
2948,H6030331,ST AMBROSE NYAORE SEC,PUBLIC,RELIGIOUS ORGANISATION,MIXED,DAY,96,10,9.6,CENTRAL KISII,MOSOCHO,BOGEKA,GESONI,KITUTU CHACHE,NYANZA,"(-0.60735800000, 34.76685500000)",-0.607358,34.766855,Kisii
2949,H6030252,RIOTERO SDA MIXED SEC,PUBLIC,RELIGIOUS ORGANISATION,MIXED,DAY AND BOARDING,82,4,20.5,CENTRAL KISII,MOSOCHO,BOGEKA,MOGUSI,KITUTU CHACHE,NYANZA,"(-0.60696000000, 34.74893300000)",-0.60696,34.748933,Kisii
2950,G6070992,GESIAGA SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,80,9,8.88888888888889,NYAMIRA,NYAMIRA,BOSAMARO CHACHE,IKOBE,WEST MUGIRANGO,NYANZA,"(-0.60681100000, 34.90713900000)",-0.606811,34.907139,Nyamira
